,Ticker,Market Cap (B),Enterprise Value (B),Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue,Enterprise Value/EBITDA,Beta (5Y Monthly),52 Week Change (%),S&P500 52-Week Change (%),52 Week High ,52 Week Low ,50-Day Moving Average ,200-Day Moving Average ,Avg Vol 3 month (M),Avg Vol 10 day (M),Shares Outstanding (M),Implied Shares Outstanding (M),Float,% Held by Insiders ,% Held by Institutions ,Shares Short (M),Short Ratio  ,Short % of Float  ,Short % of Shares Outstanding  ,Shares Short Prior Month (M),Forward Annual Dividend Rate ,Forward Annual Dividend Yield (%),Trailing Annual Dividend Rate ,Trailing Annual Dividend Yield ,5 Year Average Dividend Yield ,Payout Ratio (%),Last Split Factor (x:1),Profit Margin (%),Operating Margin (ttm) (%),Return on Assets (ttm) (%),Return on Equity (ttm) (%),Revenue (ttm) (B),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy) (%),Gross Profit (ttm) (B),EBITDA (B),Net Income Avi to Common (ttm) (B),Diluted EPS (ttm),Quarterly Earnings Growth (yoy) (%),Total Cash (mrq) (B),Total Debt (mrq) (B),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm) (B),Levered Free Cash Flow (ttm) (B),Dividend Date ,Ex-Dividend Date ,Last Split Date ,Fiscal Year Ends,Most Recent Quarter (mrq)
12,AXON,12.2,11.83,119.84,62.5,0.0,11.46,9.9,11.05,176.39,0.75,4.0,-20.0,193.85,82.49,162.97,125.27,0.0,0.0,0.07,0.0,0.07,5.0,79.0,0.0,3.04,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,4.0,1.0,9.0,1.07,15.17,34.0,0.54,0.07,0.1,1.37,-75.0,0.38,5.31,0.02,1.88,2.79,17.31,0.12,-0.13,,,2004-11-29,2021-12-30,2022-09-29
13,TEAM,32.52,32.31,0.0,93.46,3.7,10.79,67.66,10.78,-733.92,0.8,-68.0,-20.0,399.1,113.86,152.01,210.43,0.0,0.01,0.15,0.0,0.15,0.0,83.0,0.0,0.98,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-4.0,-96.0,3.0,11.79,32.0,2.34,-0.17,-0.22,-2.86,0.0,1.54,6.04,1.31,273.02,1.25,1.88,0.91,0.11,,,,2022-06-29,2022-09-29
14,LULU,40.39,41.07,33.79,26.6,1.32,5.28,12.89,5.5,21.97,1.31,-22.0,-20.0,410.7,251.51,334.93,319.75,0.0,0.0,0.12,0.0,0.12,4.0,89.0,0.0,2.23,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,21.0,20.0,41.0,7.47,58.32,28.0,3.61,1.87,1.17,9.08,36.0,0.35,2.77,1.04,34.17,1.99,23.83,0.65,0.02,,,2011-07-11,2022-01-29,2022-10-29
15,SNOW,45.14,41.45,0.0,322.58,1.8,23.8,8.34,22.28,-58.82,0.78,-60.0,-20.0,358.58,110.26,150.69,163.59,0.01,0.01,0.32,0.0,0.26,9.0,68.0,0.01,2.1,4.0,4.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.0,-40.0,-7.0,-14.0,1.86,5.9,67.0,0.76,-0.71,-0.72,-2.1,0.0,3.94,12.26,0.25,4.69,3.08,16.83,0.41,0.65,,,,2022-01-30,2022-10-30
16,NET,14.89,14.82,0.0,277.78,0.0,16.43,25.07,16.58,-161.9,1.01,-67.0,-20.0,141.34,37.37,49.02,64.55,0.01,0.0,0.28,0.0,0.28,1.0,87.0,0.02,2.42,7.0,5.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,-21.0,-5.0,-31.0,0.89,2.76,47.0,0.51,-0.13,-0.22,-0.83,0.0,1.64,4.98,1.57,263.91,5.35,1.81,0.09,0.08,,,,2021-12-30,2022-09-29
17,HUBS,13.77,13.22,0.0,95.24,2.8,8.29,15.18,8.11,-304.11,1.57,-58.0,-20.0,690.95,245.03,283.75,334.04,0.0,0.0,0.05,0.0,0.05,5.0,94.0,0.0,2.05,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-6.0,-3.0,-13.0,1.63,34.19,31.0,1.04,-0.08,-0.11,-1.36,0.0,1.28,26.44,0.74,81.24,2.34,18.79,0.28,0.24,,,,2021-12-30,2022-09-29
18,DDOG,23.17,22.24,0.0,62.89,1.11,14.95,17.97,14.52,471.89,1.02,-60.0,-20.0,186.28,66.45,76.98,100.42,0.0,0.0,0.29,0.0,0.27,9.0,81.0,0.01,2.3,4.0,4.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.0,-1.0,1.53,4.88,61.0,0.79,0.01,-0.01,0.01,0.0,1.77,5.56,0.84,64.89,3.23,4.06,0.42,0.38,,,,2021-12-30,2022-09-29
19,DOCN,2.56,3.2,0.0,22.62,0.0,5.16,84.61,6.01,39.09,0.0,-70.0,-20.0,85.72,24.42,30.99,41.0,0.0,0.0,0.1,0.0,0.05,29.0,55.0,0.01,5.2,13.0,9.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-3.0,-1.0,-6.0,0.53,5.14,36.0,0.26,0.07,-0.03,-0.32,0.0,0.82,8.56,1.47,4861.89,9.19,0.31,0.16,0.07,,,,2021-12-30,2022-09-29
20,U,11.18,11.3,0.0,0.0,0.0,6.51,5.07,9.0,-18.83,1.94,-81.0,-20.0,150.64,21.22,31.35,47.33,0.01,0.01,0.4,0.0,0.19,5.0,64.0,0.03,1.98,10.0,8.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63.0,-60.0,-13.0,-38.0,1.26,4.26,13.0,0.86,-0.6,-0.79,-2.1,0.0,1.69,5.61,1.81,82.22,3.41,7.33,-0.05,0.09,,,,2021-12-30,2022-09-29
21,SEMR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.72,-116.95,0.0,-65.0,-20.0,22.0,7.36,10.1,11.21,0.0,0.0,0.04,0.0,0.03,11.0,79.0,0.0,10.98,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-6.0,-4.0,-13.0,0.24,1.7,34.0,0.15,-0.01,-0.02,-0.05,0.0,0.25,1.74,0.0,0.0,3.26,1.49,0.01,0.02,,,,2021-12-30,2022-09-29
22,LMND,1.06,0.88,0.0,0.0,0.0,4.62,1.17,4.18,0.0,1.34,-66.0,-20.0,45.15,13.87,19.99,21.66,0.0,0.0,0.07,0.0,0.05,30.0,34.0,0.01,12.02,24.0,16.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-145.0,-141.0,-11.0,-31.0,0.21,3.32,107.0,0.06,-0.29,-0.3,-4.34,0.0,0.37,5.32,0.04,4.04,1.64,13.12,-0.18,-0.18,,,,2021-12-30,2022-09-29
23,ZM,19.28,14.21,28.79,18.48,0.0,4.63,3.35,3.27,20.36,-0.33,-65.0,-20.0,192.91,64.83,76.93,94.41,0.0,0.0,0.25,0.0,0.21,13.0,64.0,0.01,3.23,6.0,5.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,6.0,13.0,4.35,14.59,5.0,3.05,0.76,0.7,2.2,-86.0,5.16,17.67,0.1,1.74,3.24,19.69,1.29,1.48,,,,2022-01-30,2022-10-30
24,CDNS,44.37,44.15,56.76,34.36,2.03,13.01,16.39,12.85,37.7,1.09,-16.0,-20.0,194.97,132.32,159.58,160.63,0.0,0.0,0.27,0.0,0.27,1.0,89.0,0.0,2.07,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,31.0,15.0,29.0,3.43,12.63,20.0,2.68,1.2,0.79,2.79,6.0,1.03,3.74,0.8,29.46,1.33,9.87,1.19,1.02,,,1997-11-16,2021-12-31,2022-09-30
25,PINS,17.05,14.57,279.33,34.97,1.49,6.07,5.42,5.26,120.82,0.98,-33.0,-20.0,38.62,16.14,23.78,22.43,0.01,0.01,0.59,0.0,0.58,1.0,88.0,0.03,2.33,5.0,4.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.0,2.77,4.2,8.0,2.05,0.15,0.06,0.09,0.0,2.67,3.93,0.18,5.83,9.46,4.64,0.62,0.6,,,,2021-12-30,2022-09-29
26,MDB,13.88,13.28,0.0,303.03,0.0,11.46,20.29,11.17,-41.95,1.01,-65.0,-20.0,570.58,135.15,174.2,272.09,0.0,0.0,0.07,0.0,0.07,4.0,88.0,0.0,2.26,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.0,-30.0,-9.0,-54.0,1.19,17.49,47.0,0.61,-0.33,-0.37,-4.84,0.0,1.79,25.8,1.24,180.55,4.1,9.88,-0.02,0.15,,,,2022-01-30,2022-10-30
27,MRNA,80.04,72.95,7.51,32.36,0.0,4.25,4.45,3.53,5.32,1.73,-16.0,-20.0,259.2,115.03,167.9,153.2,0.01,0.01,0.38,0.0,0.35,10.0,66.0,0.02,3.9,6.0,4.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,62.0,35.0,84.0,21.39,53.68,-32.0,13.86,13.6,11.77,25.43,-69.0,8.35,21.73,1.26,7.01,2.1,46.49,6.63,3.78,,,,2021-12-30,2022-09-29
28,ROKU,5.98,4.67,0.0,0.0,0.0,1.9,2.15,1.49,-35.9,1.52,-81.0,-20.0,241.46,40.83,52.73,79.45,0.01,0.01,0.12,0.0,0.12,0.0,77.0,0.01,1.21,10.0,9.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-8.0,-4.0,-9.0,3.12,22.9,12.0,1.41,-0.01,-0.24,1.18,0.0,2.02,14.49,0.7,25.27,3.15,19.95,-0.02,0.35,,,,2021-12-30,2022-09-29
29,GLBE,3.15,2.98,0.0,0.0,0.0,8.86,3.46,8.46,-42.74,0.0,-69.0,-20.0,66.78,15.63,22.37,25.53,0.0,0.0,0.16,0.0,0.06,23.0,70.0,0.01,2.98,5.0,3.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.0,-50.0,-12.0,-24.0,0.35,2.27,78.0,0.09,-0.01,-0.19,-0.94,0.0,0.19,1.2,0.02,2.22,1.86,5.72,0.04,0.1,,,,2021-12-30,2022-09-29
30,ASAN,2.84,2.55,0.0,0.0,0.0,5.21,7.39,5.02,-6.65,1.04,-83.0,-20.0,79.79,12.58,17.74,23.23,0.0,0.0,0.13,0.0,0.08,40.0,48.0,0.01,4.1,14.0,6.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.0,-78.0,-30.0,-125.0,0.51,2.63,41.0,0.34,-0.38,-0.4,-1.78,0.0,0.55,2.56,0.26,65.33,2.11,1.86,-0.17,-0.0,,,,2022-01-30,2022-10-30
31,RBLX,16.57,15.03,0.0,0.0,0.0,7.36,39.11,6.79,-23.36,0.0,-75.0,-20.0,108.78,21.65,35.68,37.7,0.02,0.02,0.55,0.0,0.44,4.0,75.0,0.03,1.84,8.0,5.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.0,-34.0,-11.0,-153.0,2.21,3.75,2.0,0.43,-0.66,-0.78,-0.89,0.0,3.02,5.03,1.48,348.39,1.64,0.7,0.37,0.08,,,,2021-12-30,2022-09-29
32,UPST,1.18,0.0,0.0,0.0,0.0,1.25,1.64,0.0,0.0,1.06,-92.0,-20.0,163.2,12.88,19.51,41.79,0.01,0.0,0.08,0.0,0.07,15.0,40.0,0.02,3.92,35.0,30.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.01,12.12,-30.0,0.73,0.02,0.01,1.03,0.0,0.68,8.35,1.02,141.72,21.37,8.78,-0.43,-0.48,,,,2021-12-30,2022-09-29
33,TWLO,8.29,5.34,0.0,344.83,44.96,2.24,0.79,1.46,-6.48,1.37,-83.0,-20.0,270.25,41.0,55.37,89.26,0.0,0.0,0.17,0.0,0.17,1.0,85.0,0.01,0.83,4.0,3.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.0,-30.0,-5.0,-12.0,3.64,20.08,33.0,1.39,-0.82,-1.32,-5.43,0.0,4.21,22.83,1.25,11.9,5.74,57.14,-0.23,0.36,,,,2021-12-30,2022-09-29
34,CRSP,3.61,1.95,124.34,0.0,0.0,281.78,1.85,152.92,-2.95,1.7,-40.0,-20.0,86.95,42.51,52.77,62.21,0.0,0.0,0.08,0.0,0.08,1.0,69.0,0.01,11.18,16.0,14.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4878.0,-17.0,-30.0,0.01,0.18,-89.0,0.48,-0.66,-0.68,3.76,0.0,1.9,24.22,0.24,12.39,12.81,24.97,-0.47,-0.28,,,,2021-12-30,2022-09-29
35,APPN,2.49,2.46,0.0,0.0,0.0,5.53,14.4,5.49,-18.12,1.55,-52.0,-20.0,73.63,32.88,39.66,47.43,0.0,0.0,0.04,0.0,0.03,3.0,76.0,0.0,6.61,10.0,6.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.0,-29.0,-17.0,-66.0,0.45,6.2,28.0,0.27,-0.12,-0.14,-1.38,0.0,0.09,1.28,0.06,34.78,1.33,2.38,-0.11,-0.05,,,,2021-12-30,2022-09-29
36,NNOX,0.44,0.36,0.0,0.0,0.0,0.0,1.76,45.59,-4.85,1.58,-50.0,-20.0,17.5,7.99,11.35,11.41,0.0,0.0,0.05,0.0,0.04,15.0,18.0,0.01,13.47,12.0,11.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1054.0,-19.0,-36.0,0.01,0.15,0.0,-0.0,-0.07,-0.08,-1.43,0.0,0.09,1.68,0.0,1.98,2.08,4.74,-0.05,0.0,,,,2021-12-30,2022-09-29
37,SHOP,46.04,42.39,0.0,0.0,0.0,8.74,5.3,8.08,-12.42,1.9,-75.0,-20.0,145.7,23.63,35.12,39.31,0.03,0.02,1.19,0.0,1.19,0.0,65.0,0.04,1.45,5.0,3.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-61.0,-8.0,-2.0,-32.0,5.24,4.16,22.0,2.48,-0.31,-3.21,0.13,0.0,4.94,3.88,1.3,14.94,6.64,6.83,-0.13,0.32,,,2022-06-28,2021-12-30,2022-09-29
