,Name,Ticker,Market Cap (B),Enterprise Value (B),Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue,Enterprise Value/EBITDA,Beta (5Y Monthly),52 Week Change (%),S&P500 52-Week Change (%),52 Week High,52 Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol 3 month (M),Avg Vol 10 day (M),Shares Outstanding,Implied Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short (M),Short Ratio (M),Short % of Float,Short % of Shares Outstanding,Shares Short,Forward Annual Dividend Rate,Forward Annual Dividend Yield (%),Trailing Annual Dividend Rate,Trailing Annual Dividend Yield (%),5 Year Average Dividend Yield,Payout Ratio (%),Last Split Factor (x:1),Profit Margin (%),Operating Margin (ttm) (%),Return on Assets (ttm) (%),Return on Equity (ttm) (%),Revenue (ttm) (B),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy) (%),Gross Profit (ttm) (B),EBITDA (B),Net Income Avi to Common (ttm) (B),Diluted EPS (ttm),Quarterly Earnings Growth (yoy) (%),Total Cash (mrq) (B),Total Cash Per Share (mrq),Total Debt (mrq) (B),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm) (B),Levered Free Cash Flow (ttm) (B),Dividend Date,Ex-Dividend Date,Last Split Date,Fiscal Year Ends,Most Recent Quarter (mrq)
10,Exxon Mobil Corporation ,XOM,469.59,481.14,8.7,11.01,1.69,1.24,2.41,1.21,4.69,1.08,31.0,-7.0,119.63,79.29,110.84,103.07,0.02,0.02,4.07,0.0,4.06,0.0,61.0,0.04,1.96,1.0,1.0,0.03,3.64,3.0,3.55,3.0,5.32,27.0,2.0,14.0,18.0,13.0,30.0,402.22,95.65,16.0,133.72,91.13,55.74,13.26,44.0,29.64,7.28,46.92,23.17,1.41,47.78,76.8,46.27,2023-03-09,2023-02-12,2001-07-18,2022-12-30,2022-12-30
11,Johnson & Johnson ,JNJ,511.4,527.54,24.36,15.55,4.27,4.6,6.66,5.56,18.21,0.53,-9.0,-7.0,186.69,150.11,157.48,167.86,0.01,0.01,3.12,0.0,2.6,0.0,72.0,0.01,1.43,0.0,0.0,0.01,4.52,3.0,4.45,3.0,2.61,66.0,2.0,19.0,27.0,9.0,24.0,94.94,36.17,-4.0,63.95,32.72,17.94,6.74,-26.0,23.52,9.03,40.96,53.33,0.99,29.39,21.19,19.19,2023-03-06,2023-02-16,2001-06-12,2022-12-31,2022-12-31
12,JPMorgan Chase & Co. ,JPM,376.75,0.0,10.63,10.05,3.35,2.97,1.42,0.0,0.0,1.1,2.0,-7.0,144.34,101.28,135.38,125.9,0.01,0.01,2.93,0.0,2.92,1.0,72.0,0.02,0.84,1.0,1.0,0.02,4.0,3.0,4.0,3.0,2.77,33.0,1.5,31.0,38.0,1.0,13.0,122.31,41.24,6.0,122.31,0.0,35.89,12.09,6.0,1310.0,445.01,621.44,0.0,0.0,90.29,107.12,0.0,2023-04-29,2023-04-04,2000-06-11,2022-12-30,2022-12-30
13,Visa Inc. ,V,480.15,484.52,31.91,26.95,1.5,16.06,13.0,16.05,24.66,0.97,7.0,-7.0,234.3,174.6,223.82,209.6,0.01,0.01,1.62,0.0,1.62,0.0,99.0,0.03,4.22,2.0,1.0,0.03,1.8,1.0,1.65,1.0,0.62,22.0,4.0,50.0,67.0,15.0,42.0,30.19,14.55,12.0,28.57,21.16,14.86,7.15,6.0,16.12,7.84,20.49,55.48,1.44,16.98,18.79,15.1,2023-02-28,2023-02-08,2015-03-18,2022-09-29,2022-12-30
14,The Procter & Gamble Company ,PG,355.43,384.29,26.43,23.92,4.53,4.71,8.15,4.79,18.48,0.39,-5.0,-7.0,164.9,122.18,142.52,142.06,0.01,0.01,2.36,0.0,2.36,0.0,66.0,0.02,2.24,1.0,1.0,0.01,3.76,2.0,3.61,2.0,2.6,63.0,2.0,18.0,23.0,10.0,32.0,80.28,33.62,-1.0,38.21,21.01,14.0,5.7,-7.0,6.85,2.9,34.88,77.99,0.56,18.49,14.6,10.04,2023-02-14,2023-04-19,2004-06-20,2022-06-29,2022-12-30
15,Mastercard Incorporated ,MA,347.1,353.72,35.63,29.76,1.47,15.9,55.11,15.91,27.31,1.11,1.0,-7.0,390.0,276.87,360.27,341.5,0.0,0.0,0.95,0.01,0.94,11.0,79.0,0.0,1.67,1.0,1.0,0.01,2.28,1.0,2.04,1.0,0.5,19.0,10.0,45.0,57.0,21.0,144.0,22.24,22.97,12.0,22.24,13.37,9.93,10.2,6.0,7.41,7.77,14.79,231.97,1.17,6.59,11.19,10.64,2023-05-08,2023-04-04,2014-01-21,2022-12-30,2022-12-30
16,Chevron Corporation ,CVX,322.65,328.09,9.26,10.85,0.0,1.39,2.03,1.39,4.9,1.15,-1.0,-7.0,189.68,132.54,164.0,164.61,0.01,0.01,1.91,0.0,1.74,0.0,72.0,0.01,1.55,1.0,1.0,0.01,6.04,4.0,5.68,3.0,4.39,31.0,2.0,15.0,20.0,12.0,24.0,244.3,126.52,22.0,98.89,64.64,35.46,18.27,26.0,17.9,9.39,27.37,17.08,1.47,83.17,49.6,36.18,2023-03-09,2023-02-14,2004-09-12,2022-12-30,2022-12-30
17,"The Home Depot, Inc. ",HD,297.49,345.1,17.6,18.59,1.73,1.91,190.46,2.19,12.75,0.93,-5.0,-7.0,347.25,264.51,299.69,301.19,0.0,0.0,1.01,0.0,1.01,0.0,73.0,0.01,3.01,1.0,1.0,0.01,8.36,3.0,7.79,3.0,2.21,46.0,1.5,11.0,15.0,20.0,0.0,157.4,154.01,0.0,52.78,27.01,17.11,16.7,0.0,2.76,2.72,50.36,3224.33,1.4,1.54,14.62,7.79,2023-03-22,2023-03-07,1999-12-30,2023-01-28,2023-01-28
18,Eli Lilly and Company ,LLY,346.69,360.72,52.76,42.37,1.72,11.54,32.55,12.64,41.65,0.35,22.0,-7.0,375.25,276.83,334.73,336.76,0.0,0.0,0.95,0.0,0.9,0.0,84.0,0.01,2.4,1.0,1.0,0.01,4.52,1.0,3.92,1.0,1.71,57.0,2.0,22.0,30.0,11.0,63.0,28.54,31.65,-9.0,21.91,10.18,6.24,6.92,12.0,2.44,2.71,17.14,159.06,1.05,11.83,7.08,5.49,2023-03-09,2023-02-13,1997-10-15,2022-12-30,2022-12-30
19,"Merck & Co., Inc. ",MRK,285.47,302.96,19.7,16.34,2.25,4.82,6.21,5.11,14.21,0.35,31.0,-7.0,115.49,83.05,107.65,99.99,0.01,0.01,2.54,0.0,2.54,0.0,78.0,0.02,2.34,1.0,1.0,0.02,2.92,3.0,2.76,2.0,2.93,49.0,1.05,24.0,35.0,12.0,34.0,59.28,23.41,2.0,42.08,24.35,14.52,5.71,-20.0,13.19,5.2,31.99,69.44,1.47,18.12,19.09,12.69,2023-04-09,2023-03-13,2021-06-02,2022-12-30,2022-12-30
20,AbbVie Inc. ,ABBV,284.7,338.74,24.34,14.68,0.0,4.94,16.5,5.83,14.01,0.59,0.0,-7.0,168.11,134.09,153.65,150.32,0.01,0.0,1.76,0.0,1.77,0.0,72.0,0.02,2.42,1.0,1.0,0.01,5.92,4.0,5.71,4.0,4.42,85.0,0.0,20.0,39.0,10.0,72.0,58.05,32.78,2.0,41.53,31.09,11.78,6.62,-39.0,9.23,5.22,64.58,373.59,0.96,9.75,24.94,22.76,2023-05-14,2023-04-12,,2022-12-30,2022-12-30
21,Broadcom Inc. ,AVGO,259.15,285.78,20.95,14.75,1.06,7.66,11.12,8.3,14.25,1.12,7.0,-7.0,648.5,415.07,614.72,539.8,0.0,0.0,0.42,0.0,0.41,2.0,84.0,0.01,1.98,2.0,1.0,0.0,18.4,3.0,17.4,3.0,3.14,57.0,0.0,37.0,44.0,13.0,55.0,34.41,83.83,16.0,24.95,20.0,12.6,29.66,53.0,12.65,30.33,39.4,169.01,2.52,55.9,17.29,13.5,2023-03-30,2023-03-20,,2022-10-29,2023-01-28
22,"PepsiCo, Inc. ",PEP,251.94,286.14,28.49,25.19,3.32,2.94,14.69,3.31,19.17,0.54,6.0,-7.0,186.84,154.86,176.15,175.24,0.0,0.0,1.38,0.0,1.37,0.0,76.0,0.01,2.33,1.0,1.0,0.01,4.6,3.0,4.53,2.0,2.8,70.0,2.0,10.0,14.0,8.0,54.0,86.39,62.6,11.0,46.05,14.89,8.91,6.43,-61.0,5.35,3.88,41.49,240.18,0.8,12.45,10.81,6.65,2023-03-30,2023-03-01,1996-05-28,2022-12-30,2022-12-30
23,The Coca-Cola Company ,KO,270.74,298.26,28.58,24.1,3.41,6.33,11.23,6.94,21.57,0.54,-4.0,-7.0,67.2,54.02,60.53,61.12,0.01,0.01,4.33,0.0,3.9,1.0,72.0,0.02,1.66,1.0,1.0,0.02,1.84,3.0,1.76,3.0,3.09,80.0,2.0,22.0,28.0,8.0,38.0,43.0,9.94,7.0,25.0,13.51,9.54,2.19,-16.0,11.63,2.69,42.28,163.71,1.14,5.57,11.02,7.81,2023-04-02,2023-03-15,2012-08-12,2022-12-30,2022-12-30
24,Pfizer Inc. ,PFE,235.88,248.02,7.64,12.21,0.0,2.39,2.47,2.47,6.04,0.59,-22.0,-7.0,54.93,39.23,41.59,46.52,0.02,0.02,5.64,0.0,5.61,0.0,71.0,0.05,2.2,1.0,1.0,0.04,1.64,4.0,1.6,4.0,3.6,29.0,1.05,31.0,39.0,13.0,36.0,100.33,17.89,2.0,66.23,44.02,31.37,5.47,47.0,22.73,4.05,39.38,41.05,1.22,17.03,29.27,24.96,2023-03-02,2023-01-25,2020-11-16,2022-12-30,2022-12-30
25,Thermo Fisher Scientific Inc. ,TMO,222.31,248.27,32.69,24.21,4.24,5.06,5.05,5.53,20.79,0.79,2.0,-7.0,611.06,475.77,561.71,551.67,0.0,0.0,0.39,0.0,0.38,0.0,92.0,0.0,2.35,1.0,1.0,0.0,1.4,0.0,1.2,0.0,0.22,7.0,1.5,15.0,19.0,6.0,16.0,44.91,114.58,7.0,19.0,11.97,6.95,17.63,-5.0,8.52,22.12,36.16,81.9,1.48,112.62,9.15,5.82,2023-04-13,2023-03-13,1996-06-05,2022-12-30,2022-12-30
26,Costco Wholesale Corporation ,COST,221.14,216.58,36.64,34.6,3.66,0.95,9.7,0.92,21.24,0.79,-17.0,-7.0,609.18,406.51,494.33,499.21,0.0,0.0,0.44,0.0,0.44,0.0,71.0,0.0,1.59,1.0,1.0,0.0,3.6,1.0,3.6,1.0,0.8,26.0,2.0,3.0,3.0,8.0,28.0,234.39,528.11,6.0,27.57,9.89,6.05,13.6,13.0,13.7,30.9,9.14,40.08,1.06,51.39,9.53,4.05,2023-02-16,2023-02-01,2000-01-13,2022-08-27,2023-02-11
27,Walmart Inc. ,WMT,404.54,454.84,35.15,24.63,4.18,0.67,5.27,0.74,15.12,0.49,-5.0,-7.0,160.77,117.27,143.01,138.75,0.01,0.01,2.7,0.0,1.42,48.0,33.0,0.01,1.35,1.0,0.0,0.01,2.28,2.0,2.24,2.0,1.77,52.0,2.0,2.0,4.0,6.0,13.0,611.29,224.41,7.0,147.57,35.47,11.68,4.27,76.0,8.63,3.2,61.03,72.67,0.82,28.48,28.84,12.37,2024-01-01,2023-05-03,1999-04-19,2023-01-30,2023-01-30
28,McDonald's Corporation ,MCD,208.1,254.21,34.15,27.03,3.57,9.1,0.0,10.97,23.32,0.62,14.0,-7.0,287.32,228.34,269.8,262.78,0.0,0.0,0.73,0.0,0.73,0.0,71.0,0.01,2.31,1.0,1.0,0.01,6.08,2.0,5.66,2.0,2.28,68.0,2.0,27.0,45.0,12.0,0.0,23.18,31.48,-1.0,13.21,12.22,6.18,8.34,16.0,2.58,3.53,48.79,0.0,1.43,-8.22,7.39,5.27,2023-03-14,2023-02-27,1999-03-07,2022-12-30,2022-12-30
29,"Cisco Systems, Inc. ",CSCO,207.33,194.16,18.54,12.79,2.1,3.94,5.0,3.65,11.94,0.98,-2.0,-7.0,53.83,38.6,49.51,46.33,0.02,0.02,4.1,0.0,4.09,0.0,77.0,0.04,2.27,1.0,1.0,0.04,1.56,3.0,1.52,3.0,2.95,56.0,2.0,21.0,27.0,9.0,28.0,53.16,12.9,7.0,32.25,15.81,11.3,2.73,-7.0,22.06,5.39,9.96,24.01,1.41,10.13,16.04,13.59,2023-04-25,2023-04-03,2000-03-22,2022-07-29,2023-01-27
30,Bank of America Corporation ,BAC,229.66,0.0,9.0,8.27,4.35,2.47,0.94,0.0,0.0,1.41,-24.0,-7.0,40.37,26.32,31.81,33.4,0.06,0.05,8.0,0.0,7.97,0.0,72.0,0.1,1.14,1.0,1.0,0.05,0.88,3.0,0.86,3.0,2.17,27.0,2.0,30.0,34.0,1.0,10.0,92.41,11.39,4.0,92.41,0.0,26.02,3.19,2.0,725.81,90.68,562.15,0.0,0.0,30.61,-6.33,0.0,2023-03-30,2023-03-01,2004-08-29,2022-12-30,2022-12-30
31,"Salesforce, Inc. ",CRM,188.89,190.47,899.48,26.53,1.32,6.01,3.24,6.08,33.75,1.21,0.0,-7.0,200.0,126.34,179.64,162.79,0.01,0.01,1.0,0.0,0.97,3.0,78.0,0.01,1.01,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,6.0,1.0,0.0,31.35,31.6,14.0,22.99,5.44,0.21,0.21,0.0,12.51,12.51,14.88,25.5,1.02,59.49,7.11,10.22,,,2013-04-17,2023-01-30,2023-01-30
32,The Walt Disney Company ,DIS,183.45,223.35,55.18,24.1,1.05,2.17,1.91,2.65,18.27,1.3,-25.0,-7.0,133.59,84.07,100.97,101.03,0.01,0.01,1.83,0.0,1.83,0.0,65.0,0.02,1.99,1.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.01,4.0,8.0,2.0,4.0,84.41,46.29,8.0,28.32,11.9,3.32,1.83,16.0,8.47,4.64,48.38,44.43,0.99,52.66,5.25,4.86,2020-01-15,2019-12-12,2007-06-12,2022-09-30,2022-12-30
33,Abbott Laboratories ,ABT,179.51,187.06,26.42,23.42,41.05,4.17,4.89,4.29,15.42,0.67,-13.0,-7.0,124.35,93.25,102.87,105.24,0.01,0.01,1.74,0.0,1.72,1.0,76.0,0.01,2.21,1.0,1.0,0.01,2.04,2.0,1.92,2.0,1.53,48.0,2.08,16.0,20.0,7.0,19.0,43.65,24.9,-12.0,24.58,12.1,6.9,3.91,-48.0,10.17,5.85,17.95,48.63,1.63,21.11,9.58,7.19,2023-05-14,2023-04-12,2013-01-01,2022-12-30,2022-12-30
34,Accenture plc ,ACN,180.83,177.79,26.37,24.75,3.02,2.9,7.61,2.82,15.56,1.24,-11.0,-7.0,330.32,242.8,273.03,279.72,0.0,0.0,0.63,0.0,0.63,0.0,74.0,0.01,2.55,1.0,1.0,0.01,4.48,2.0,4.33,2.0,1.4,38.0,0.0,11.0,15.0,13.0,31.0,63.14,100.0,5.0,19.7,10.7,6.94,10.87,-7.0,6.24,9.89,3.21,13.12,1.29,37.64,9.68,8.33,2023-05-14,2023-04-11,,2022-08-30,2023-02-27
35,Linde plc ,LIN,176.32,189.67,43.53,26.81,3.32,5.41,4.4,5.68,19.04,0.85,13.0,-7.0,362.85,262.47,342.11,312.82,0.0,0.0,0.49,0.0,0.49,0.0,83.0,0.0,1.16,1.0,1.0,0.01,5.1,1.0,4.68,1.0,1.64,57.0,2.0,12.0,20.0,5.0,10.0,33.36,66.76,-5.0,13.91,10.86,4.15,8.24,29.0,5.44,11.05,18.79,45.4,0.79,81.28,8.86,4.92,2023-03-27,2023-03-12,2003-12-15,2022-12-30,2022-12-30
36,Adobe Inc. ,ADBE,170.23,168.7,36.56,24.04,1.6,9.63,11.98,9.37,23.98,1.27,-12.0,-7.0,451.15,274.73,361.2,352.64,0.0,0.0,0.46,0.0,0.46,0.0,86.0,0.01,1.64,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,34.0,14.0,34.0,18.0,38.62,9.0,15.44,6.72,4.74,10.13,-2.0,5.65,12.32,4.13,29.04,1.12,30.95,7.76,6.11,,2005-03-23,2005-05-23,2022-12-01,2023-03-02
37,Verizon Communications Inc. ,VZ,165.69,339.42,7.8,8.4,6.94,1.21,1.82,2.48,6.93,0.34,-27.0,-7.0,55.51,34.55,38.9,40.74,0.02,0.02,4.2,0.0,4.2,0.0,64.0,0.03,1.68,1.0,1.0,0.04,2.61,7.0,2.59,7.0,4.73,51.0,1.07,16.0,24.0,6.0,25.0,136.83,32.56,4.0,77.7,50.21,21.26,5.06,43.0,2.7,0.64,181.06,195.82,0.75,21.7,37.14,7.58,2023-04-30,2023-04-05,2010-07-01,2022-12-30,2022-12-30
38,Danaher Corporation ,DHR,182.19,198.6,25.87,25.0,3.59,5.85,3.76,6.31,18.52,0.8,-10.0,-7.0,303.82,233.71,251.55,264.07,0.0,0.0,0.73,0.0,0.65,11.0,81.0,0.0,1.43,1.0,0.0,0.0,1.08,0.0,1.0,0.0,0.41,10.0,1.32,23.0,28.0,7.0,15.0,31.47,43.4,3.0,18.95,10.96,7.1,9.66,25.0,5.99,8.23,20.74,41.4,1.89,66.47,8.52,5.59,2023-04-27,2023-03-29,2016-07-04,2022-12-30,2022-12-30
39,Texas Instruments Incorporated ,TXN,163.2,163.22,19.11,23.81,3.17,8.32,11.2,8.15,14.54,1.02,2.0,-7.0,186.3,144.46,176.92,170.06,0.01,0.0,0.91,0.0,2.71,0.0,88.0,0.02,3.85,2.0,2.0,0.02,4.96,3.0,4.69,3.0,2.52,50.0,2.0,44.0,50.0,24.0,63.0,20.03,21.86,-3.0,13.77,11.02,8.71,9.4,-8.0,9.07,3.34,9.15,62.8,4.7,16.09,8.72,4.06,2023-02-13,2023-01-29,2000-05-22,2022-12-30,2022-12-30
40,Comcast Corporation ,CMCSA,161.81,251.87,31.72,10.46,0.75,1.4,2.0,2.07,9.33,1.0,-21.0,-7.0,48.24,28.39,37.56,36.22,0.02,0.02,4.21,0.0,4.17,1.0,87.0,0.04,1.89,1.0,1.0,0.04,1.16,3.0,1.08,3.0,2.12,89.0,2.0,4.0,19.0,5.0,5.0,121.43,27.56,1.0,83.21,36.44,5.37,1.21,-1.0,4.75,1.13,106.77,130.14,0.78,19.18,26.41,10.8,2023-04-25,2023-04-03,2017-02-20,2022-12-30,2022-12-30
41,"NextEra Energy, Inc. ",NEE,158.51,221.88,37.3,25.13,2.62,7.4,4.04,10.59,24.1,0.44,-5.0,-7.0,91.35,67.22,75.05,80.71,0.01,0.01,2.02,0.0,1.98,0.0,79.0,0.02,1.65,1.0,1.0,0.02,1.87,2.0,1.7,2.0,2.12,81.0,4.0,20.0,18.0,2.0,7.0,20.96,10.62,22.0,10.14,8.55,4.15,2.1,26.0,1.6,0.81,65.34,132.17,0.5,19.74,8.26,-12.19,2023-03-14,2023-02-26,2020-10-26,2022-12-30,2022-12-30
42,"NIKE, Inc. ",NKE,189.51,191.27,35.53,30.67,2.19,3.85,13.04,3.78,27.01,1.11,-7.0,-7.0,139.14,82.22,121.75,110.65,0.01,0.0,1.25,0.0,1.23,1.0,84.0,0.01,1.79,1.0,1.0,0.01,1.36,1.0,1.29,1.0,0.94,37.0,2.0,11.0,12.0,10.0,37.0,50.63,32.44,14.0,21.48,7.42,5.48,3.47,-11.0,10.8,7.0,12.57,86.48,2.73,9.41,0.0,0.0,2023-04-02,2023-03-02,2015-12-23,2022-05-30,2023-02-27
43,Philip Morris International Inc. ,PM,153.1,193.02,16.98,15.48,2.45,4.82,0.0,6.08,14.2,0.72,-3.0,-7.0,109.81,82.85,98.6,96.61,0.0,0.0,1.55,0.0,1.55,0.0,77.0,0.01,1.52,1.0,1.0,0.01,5.08,5.0,5.04,5.0,5.48,87.0,0.0,28.0,39.0,15.0,0.0,31.76,20.49,1.0,20.53,13.59,9.02,5.81,14.0,3.21,2.07,43.74,0.0,0.72,-5.78,10.8,7.24,2023-04-10,2023-03-21,,2022-12-30,2022-12-30
44,Wells Fargo & Company ,WFC,148.7,0.0,12.54,8.31,0.79,2.05,0.93,0.0,0.0,1.17,-15.0,-7.0,49.49,35.25,42.74,43.33,0.02,0.02,3.78,0.0,3.79,0.0,76.0,0.04,1.17,1.0,1.0,0.03,1.2,3.0,1.1,3.0,3.29,35.0,2.0,18.0,21.0,1.0,7.0,72.25,18.99,-12.0,72.25,0.0,12.07,3.14,-50.0,361.9,95.39,250.57,0.0,0.0,41.96,27.05,0.0,2023-02-28,2023-02-01,2006-08-13,2022-12-30,2022-12-30
